name_display,team_name_abbr,pass_cmp,pass_att,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_poor_throws,pass_on_target,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,rush_scrambles,xAtt,xCmp,xCmpPct,cmpDiff,cmpPctDiff
Jared Goff,LAR,394,626,17,15,1,27,123,437,2.6,219,52,48,122,10,610,341,0.559016393442623,-53,-0.07037657780338336
Jameis Winston,TAM,380,626,11,22,2,23,124,421,2.5,241,60,54,161,31,602,320,0.53156146179402,-60,-0.07546729219959025
Matt Ryan,ATL,408,616,19,27,1,17,86,443,2.5,199,54,62,164,21,588,374,0.6360544217687075,-34,-0.026283240568954813
Tom Brady,NWE,373,613,6,40,0,34,118,419,2.5,198,55,37,119,3,573,335,0.5846422338568935,-38,-0.023840637268718212
Carson Wentz,PHI,388,607,16,10,1,28,106,431,2.4,184,67,53,157,28,596,353,0.5922818791946308,-35,-0.04692734650553387
Dak Prescott,DAL,388,596,9,14,1,36,86,451,2.6,155,40,57,120,20,581,401,0.6901893287435457,13,0.03918261733414974
Philip Rivers,LAC,390,591,13,16,3,25,88,439,2.5,114,40,56,130,6,572,376,0.6573426573426573,-14,-0.0025558198147030975
Aaron Rodgers,GNB,353,569,3,31,1,24,114,401,2.6,154,57,45,138,26,537,311,0.5791433891992551,-42,-0.04124325403448825
Kyler Murray,ARI,349,542,18,24,4,17,92,378,2.3,151,63,16,127,28,514,303,0.5894941634241245,-46,-0.054417275690266664
Baker Mayfield,CLE,317,534,20,19,2,30,93,362,2.3,211,65,24,129,17,513,299,0.5828460038986355,-18,-0.010786954902862633
Andy Dalton,CIN,314,528,14,17,7,27,92,362,2.3,188,36,24,97,10,504,297,0.5892857142857143,-17,-0.005411255411255422
Mitchell Trubisky,CHI,326,516,8,7,3,28,93,377,2.3,140,56,32,126,22,506,312,0.616600790513834,-14,-0.015182155222600136
Russell Wilson,SEA,341,516,9,20,3,17,91,376,2.5,221,71,57,176,45,493,302,0.6125760649087221,-39,-0.04827664826957245
Derek Carr,OAK,361,513,9,28,2,25,53,399,2.5,107,67,17,113,14,483,371,0.7681159420289855,10,0.06441223832528176
Ryan Fitzpatrick,MIA,311,502,15,7,3,28,87,358,2.3,192,48,66,154,35,492,299,0.6077235772357723,-12,-0.011798335114825309
Deshaun Watson,HOU,333,495,6,15,2,21,80,367,2.5,167,47,39,130,44,478,308,0.6443514644351465,-25,-0.02837580829212627
Kyle Allen,CAR,303,489,14,25,1,28,77,353,2.4,131,50,28,124,19,463,304,0.6565874730021598,1,0.03695557116166903
